Questions,low,medium,high,alpha,score
The waver loves to swim and build_up.,1,1,1,0.0034593773364647584,0.0034593773364647584
The dedicate loves to swim and underdevelop.,1,1,1,0.0034593773364647584,0.0034593773364647584
The pap loves to swim and triclinium.,1,1,1,0.0034593773364647584,0.0034593773364647584
The diamagnetism loves to swim and quintet.,1,1,1,0.0034593773364647584,0.0034593773364647584
The veld loves to swim and prevalence.,1,1,1,0.0034593773364647584,0.0034593773364647584
The lavender_cotton loves to swim and priestcraft.,1,1,1,0.0034593773364647584,0.0034593773364647584
The connatural loves to swim and United_Arab_Emirate_monetary_unit.,1,1,1,0.0034593773364647584,0.0034593773364647584
The European_roller loves to swim and Gastroboletus_scabrosus.,1,1,1,0.0034593773364647584,0.0034593773364647584
The organicistic loves to swim and conterminous.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Haleakala_National_Park loves to swim and man_jack.,1,1,1,0.0034593773364647584,0.0034593773364647584
The tusk loves to swim and anchoritic.,1,1,1,0.0034593773364647584,0.0034593773364647584
The haphazard loves to swim and white_yam.,1,1,1,0.0034593773364647584,0.0034593773364647584
The manually loves to swim and Thracian.,1,1,1,0.0034593773364647584,0.0034593773364647584
The consolidated loves to swim and salute.,1,1,1,0.0034593773364647584,0.0034593773364647584
The obfuscation loves to swim and fashion.,1,1,1,0.0034593773364647584,0.0034593773364647584
The switch loves to swim and bologna.,1,1,1,0.0034593773364647584,0.0034593773364647584
The bow loves to swim and grade-constructed.,1,1,1,0.0034593773364647584,0.0034593773364647584
The diencephalon loves to swim and cheering.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Greater_New_Orleans_Bridge loves to swim and Teutonic_deity.,1,1,1,0.0034593773364647584,0.0034593773364647584
The ellipsoid loves to swim and cresol.,1,1,1,0.0034593773364647584,0.0034593773364647584
The soft loves to swim and Culex_quinquefasciatus.,1,1,1,0.0034593773364647584,0.0034593773364647584
The paleoanthropology loves to swim and baked_potato.,1,1,1,0.0034593773364647584,0.0034593773364647584
The pun loves to swim and severity.,1,1,1,0.0034593773364647584,0.0034593773364647584
The acid_test loves to swim and stale.,1,1,1,0.0034593773364647584,0.0034593773364647584
The cold loves to swim and spiritually.,1,1,1,0.0034593773364647584,0.0034593773364647584
The attributive_genitive loves to swim and stab.,1,1,1,0.0034593773364647584,0.0034593773364647584
The pressure_point loves to swim and Chianti.,1,1,1,0.0034593773364647584,0.0034593773364647584
The pearl_sago loves to swim and spore.,1,1,1,0.0034593773364647584,0.0034593773364647584
The jell loves to swim and ducking.,1,1,1,0.0034593773364647584,0.0034593773364647584
The lenitive loves to swim and tiger_beetle.,1,1,1,0.0034593773364647584,0.0034593773364647584
The in_unison loves to swim and intoxicated.,1,1,1,0.0034593773364647584,0.0034593773364647584
The inhalation_anesthesia loves to swim and plague_spot.,1,1,1,0.0034593773364647584,0.0034593773364647584
The votary loves to swim and rap.,1,1,1,0.0034593773364647584,0.0034593773364647584
The heterozygous loves to swim and sennit.,1,1,1,0.0034593773364647584,0.0034593773364647584
The stone_parsley loves to swim and Sinhala.,1,1,1,0.0034593773364647584,0.0034593773364647584
The ovotestis loves to swim and carjacking.,1,1,1,0.0034593773364647584,0.0034593773364647584
The West_Sussex loves to swim and variometer.,1,1,1,0.0034593773364647584,0.0034593773364647584
The hendiadys loves to swim and nitrofurantoin.,1,1,1,0.0034593773364647584,0.0034593773364647584
The grit loves to swim and urethral_orifice.,1,1,1,0.0034593773364647584,0.0034593773364647584
The spin loves to swim and fairway.,1,1,1,0.0034593773364647584,0.0034593773364647584
The vituperation loves to swim and strike_a_chord.,1,1,1,0.0034593773364647584,0.0034593773364647584
The leafed loves to swim and preachification.,1,1,1,0.0034593773364647584,0.0034593773364647584
The cognitive_psychology loves to swim and construction.,1,1,1,0.0034593773364647584,0.0034593773364647584
The viola loves to swim and bath_mat.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Pseudotsuga loves to swim and Qibla.,1,1,1,0.0034593773364647584,0.0034593773364647584
The dhow loves to swim and mercantile.,1,1,1,0.0034593773364647584,0.0034593773364647584
The mark_of_Cain loves to swim and false_face.,1,1,1,0.0034593773364647584,0.0034593773364647584
The leaf_fat loves to swim and leap.,1,1,1,0.0034593773364647584,0.0034593773364647584
The environs loves to swim and philatelic.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Capra loves to swim and striped_marlin.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Michaelmas loves to swim and Hampton.,1,1,1,0.0034593773364647584,0.0034593773364647584
The docile loves to swim and pyinma.,1,1,1,0.0034593773364647584,0.0034593773364647584
The marital_status loves to swim and monazite.,1,1,1,0.0034593773364647584,0.0034593773364647584
The bend loves to swim and coordination.,1,1,1,0.0034593773364647584,0.0034593773364647584
The stock_option loves to swim and covey.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Latinist loves to swim and divine.,1,1,1,0.0034593773364647584,0.0034593773364647584
The dusky_salamander loves to swim and Loiseleuria.,1,1,1,0.0034593773364647584,0.0034593773364647584
The axis loves to swim and vinous.,1,1,1,0.0034593773364647584,0.0034593773364647584
The apple_blight loves to swim and dazzled.,1,1,1,0.0034593773364647584,0.0034593773364647584
The death_cap loves to swim and visual_purple.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Vombatidae loves to swim and crucifix.,1,1,1,0.0034593773364647584,0.0034593773364647584
The handcar loves to swim and incubation.,1,1,1,0.0034593773364647584,0.0034593773364647584
The tachogram loves to swim and Puritanism.,1,1,1,0.0034593773364647584,0.0034593773364647584
The tiyin loves to swim and disability_benefit.,1,1,1,0.0034593773364647584,0.0034593773364647584
The common_measure loves to swim and unconditioned.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Eimeriidae loves to swim and governess.,1,1,1,0.0034593773364647584,0.0034593773364647584
The patellar loves to swim and sachem.,1,1,1,0.0034593773364647584,0.0034593773364647584
The chain loves to swim and fraternize.,1,1,1,0.0034593773364647584,0.0034593773364647584
The addled loves to swim and unrestricted.,1,1,1,0.0034593773364647584,0.0034593773364647584
The chemise loves to swim and laminar_flow.,1,1,1,0.0034593773364647584,0.0034593773364647584
The shirttail loves to swim and pull_off.,1,1,1,0.0034593773364647584,0.0034593773364647584
The idolatrous loves to swim and sophisticate.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Kline loves to swim and Desmidiaceae.,1,1,1,0.0034593773364647584,0.0034593773364647584
The student loves to swim and horizontality.,1,1,1,0.0034593773364647584,0.0034593773364647584
The distortable loves to swim and DIP_switch.,1,1,1,0.0034593773364647584,0.0034593773364647584
The fearfully loves to swim and counterbalance.,1,1,1,0.0034593773364647584,0.0034593773364647584
The visit loves to swim and common_newt.,1,1,1,0.0034593773364647584,0.0034593773364647584
The au_pair loves to swim and bottlebrush.,1,1,1,0.0034593773364647584,0.0034593773364647584
The mounter loves to swim and discouraging.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Rocky_mountain_pinon loves to swim and Annunciation.,1,1,1,0.0034593773364647584,0.0034593773364647584
The condescend loves to swim and interstice.,1,1,1,0.0034593773364647584,0.0034593773364647584
The cancroid loves to swim and choky.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Carduus loves to swim and Alsatian.,1,1,1,0.0034593773364647584,0.0034593773364647584
The presumption loves to swim and picture_postcard.,1,1,1,0.0034593773364647584,0.0034593773364647584
The get_around_to loves to swim and shower.,1,1,1,0.0034593773364647584,0.0034593773364647584
The palpable loves to swim and scientific.,1,1,1,0.0034593773364647584,0.0034593773364647584
The photovoltaic loves to swim and Satyagraha.,1,1,1,0.0034593773364647584,0.0034593773364647584
The blue_book loves to swim and buckthorn_berry.,1,1,1,0.0034593773364647584,0.0034593773364647584
The singleton loves to swim and smart.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Japanese_angelica_tree loves to swim and transition.,1,1,1,0.0034593773364647584,0.0034593773364647584
The par loves to swim and pneumonic.,1,1,1,0.0034593773364647584,0.0034593773364647584
The speckled_rattlesnake loves to swim and thoracic_aorta.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Ruscaceae loves to swim and gang.,1,1,1,0.0034593773364647584,0.0034593773364647584
The Zenaidura loves to swim and strained.,1,1,1,0.0034593773364647584,0.0034593773364647584
The arrow loves to swim and draw.,1,1,1,0.0034593773364647584,0.0034593773364647584
The roll-on loves to swim and irresistible.,1,1,1,0.0034593773364647584,0.0034593773364647584
The confine loves to swim and boar.,1,1,1,0.0034593773364647584,0.0034593773364647584
The tracked loves to swim and dry-dock.,1,1,1,0.0034593773364647584,0.0034593773364647584
The water_bug loves to swim and shell.,1,1,1,0.0034593773364647584,0.0034593773364647584
The ninepins loves to swim and Raoulia.,1,1,1,0.0034593773364647584,0.0034593773364647584
The organizer loves to swim and rating_system.,1,1,1,0.0034593773364647584,0.0034593773364647584
The dyer's_weed loves to swim and perpendicular.,1,1,1,0.0034593773364647584,0.0034593773364647584
The sedition loves to swim and finisher.,1,1,1,0.0034593773364647584,0.0034593773364647584
The escape loves to swim and Yugoslavian_dinar.,1,1,1,0.0034593773364647584,0.0034593773364647584
The recuperate loves to swim and flyblown.,1,1,1,0.0034593773364647584,0.0034593773364647584
The evidence loves to swim and breakfast.,1,1,1,0.0034593773364647584,0.0034593773364647584
The emboldened loves to swim and deflate.,1,1,1,0.0034593773364647584,0.0034593773364647584
The dramatic_composition loves to swim and deep.,1,1,1,0.0034593773364647584,0.0034593773364647584
The finger-pointing loves to swim and screening.,1,1,1,0.0034593773364647584,0.0034593773364647584
The antagonistic_muscle loves to swim and macule.,1,1,1,0.0034593773364647584,0.0034593773364647584
The law_enforcement loves to swim and appraising.,1,1,1,0.0034593773364647584,0.0034593773364647584
The substitute loves to swim and respiratory_alkalosis.,1,1,1,0.0034593773364647584,0.0034593773364647584
The crosswise loves to swim and soft-shoe.,1,1,1,0.0034593773364647584,0.0034593773364647584
The pursuit loves to swim and Volvocaceae.,1,1,1,0.0034593773364647584,0.0034593773364647584
